waypoint1	waypoint2	distance_m	duration_s
p210	p285	9816915	0
p9	p159	3790249	0
p222	p241	919654	0
p255	p190	16000912	0
p131	p250	6023526	0
p25	p82	4212176	0
p161	p39	10405161	0
p276	p6	9674162	0
p207	p86	6161005	0
p292	p297	7731719	0
p202	p131	15028563	0
p32	p144	14696381	0
p65	p378	11773215	0
p41	p16	10969539	0
p93	p301	2523048	0
p192	p374	4572516	0
p193	p196	15952121	0
p14	p366	4997793	0
p292	p323	517692	0
p317	p87	15683739	0
p221	p142	1789691	0
p358	p287	10041943	0
p349	p100	8267135	0
p100	p320	10565785	0
p272	p252	3406606	0
p210	p274	3559803	0
p231	p319	14985561	0
p11	p368	11864058	0
p385	p382	14980743	0
p139	p35	6256605	0
p184	p94	11881657	0
p316	p330	10841546	0
p353	p150	12288724	0
p248	p212	4256708	0
p213	p205	10344102	0
p27	p86	13827201	0
p63	p187	14762675	0
p330	p188	7107121	0
p233	p17	10418478	0
p170	p259	13335342	0
p345	p388	507283	0
p264	p57	4515973	0
p355	p364	8528562	0
p207	p177	3656	0
p149	p4	12334592	0
p173	p245	258210	0
p203	p289	13183779	0
p170	p169	15608984	0
p38	p312	11557989	0
p202	p195	10673351	0
p63	p115	2919872	0
p170	p182	7709961	0
p32	p214	1369698	0
p383	p115	10007988	0
p217	p194	5827667	0
p248	p130	7585609	0
p57	p116	4358703	0
p26	p261	5742343	0
p231	p73	6956366	0
p34	p393	9550988	0
p10	p90	12114192	0
p76	p393	8259698	0
p141	p75	620869	0
p25	p369	4002107	0
p220	p348	3628625	0
p15	p289	2594290	0
p374	p16	9124546	0
p214	p294	15574354	0
p242	p350	5582155	0
p59	p225	994393	0
p266	p79	11952278	0
p253	p147	12736105	0
p299	p136	12865464	0
p210	p320	8251225	0
p190	p280	5320520	0
p104	p380	12962439	0
p3	p276	5491545	0
p109	p122	2201929	0
p242	p336	14123541	0
p377	p345	13584662	0
p24	p328	7951672	0
p156	p144	14638955	0
p387	p254	3063234	0
p56	p37	760916	0
p91	p113	3380533	0
p264	p388	12167020	0
p277	p41	472577	0
p274	p309	2349158	0
p58	p301	5076151	0
p371	p35	1519440	0
p317	p244	5791812	0
p327	p238	9114156	0
p46	p209	2331890	0
p370	p195	7115720	0
p233	p278	6197882	0
p361	p197	11507083	0
p26	p165	3641049	0
p321	p273	15856674	0
p11	p348	14512821	0
p80	p300	6279477	0
p44	p180	7792302	0
p191	p34	2314295	0
p28	p201	8774381	0
p241	p101	6030029	0
p262	p344	6370097	0
p244	p296	9258078	0
p2	p13	1316441	0
p171	p315	11069147	0
p219	p148	8776488	0
p63	p21	2859885	0
p83	p347	15236280	0
p160	p388	12844605	0
p88	p42	13696986	0
p259	p373	154609	0
p178	p124	3173718	0
p163	p175	7397253	0
p124	p214	15597805	0
p93	p4	11637065	0
p28	p313	157439	0
p134	p249	14935880	0
p239	p379	1272100	0
p342	p377	3890206	0
p68	p292	2328821	0
p122	p132	7217766	0
p253	p195	7113294	0
p105	p136	7284691	0
p249	p147	14168880	0
p91	p1	5306562	0
p364	p296	8781205	0
p10	p12	8411872	0
p190	p121	8497741	0
p315	p93	14884044	0
p90	p173	2172007	0
p351	p116	14168309	0
p282	p128	7569374	0
p63	p383	11553189	0
p61	p366	8164557	0
p173	p59	8936784	0
p335	p17	5566706	0
p230	p103	528390	0
p163	p368	402860	0
p340	p189	674915	0
p83	p189	12670266	0
p134	p261	12621442	0
p127	p156	14938432	0
p276	p212	4384313	0
p218	p144	7627989	0
p160	p164	12900872	0
p26	p95	2404065	0
p3	p288	6097753	0
p282	p130	1751313	0
p228	p297	9774828	0
p198	p132	14636025	0
p77	p202	1344697	0
p269	p364	2133051	0
p246	p393	2201151	0
p382	p120	8912243	0
p126	p80	9532649	0
