waypoint1	waypoint2	distance_m	duration_s
p25	p23	11852594	0
p11	p20	7047706	0
p18	p9	4619604	0
p12	p20	9838010	0
p12	p22	14754091	0
p26	p16	5382366	0
p14	p6	8060151	0
p3	p8	6113634	0
p11	p28	2083791	0
p18	p15	5147531	0
p13	p29	3290893	0
p0	p28	9252944	0
p3	p9	3204194	0
p27	p1	8992052	0
p18	p21	844357	0
p18	p6	5513118	0
p27	p26	1292692	0
p19	p22	2989714	0
p8	p7	13443151	0
p25	p7	14852688	0
p18	p8	7869709	0
p26	p4	15981750	0
p24	p6	2292604	0
p11	p8	8230018	0
p3	p28	14857869	0
p24	p8	10029014	0
p2	p6	14713188	0
p18	p12	10779364	0
p0	p22	12286495	0
p7	p20	5153689	0
p7	p16	5481387	0
p11	p7	10386535	0
p13	p17	4365494	0
p3	p29	1207962	0
p11	p4	5034095	0
p8	p15	8171276	0
p24	p9	1343664	0
p29	p7	8958028	0
p28	p23	9613039	0
p1	p5	6910664	0
p6	p23	3232772	0
p29	p23	9308132	0
p3	p5	12517344	0
p17	p5	8195847	0
p24	p0	6361657	0
p8	p29	6491717	0
p14	p16	2150165	0
p0	p29	8768448	0
p3	p24	12789301	0
p19	p15	5746086	0
p11	p29	4282208	0
p14	p20	12432403	0
p10	p16	1824022	0
p24	p14	7481386	0
p12	p7	2575773	0
p11	p19	7856589	0
p1	p4	6568495	0
p9	p16	9924675	0
p19	p0	12963159	0
p10	p27	13260205	0
p1	p16	919816	0
p19	p9	5974280	0
p2	p21	5755926	0
p18	p28	11080451	0
p27	p23	643099	0
p6	p22	356268	0
p19	p20	6551073	0
p2	p16	14871452	0
p3	p0	2997166	0
p18	p23	15374789	0
p16	p5	14183113	0
p10	p14	2885192	0
p6	p7	932048	0
p19	p7	4901863	0
p27	p7	1085331	0
p0	p9	11687951	0
p7	p17	12154097	0
p11	p23	5503464	0
p3	p19	6570777	0
p14	p28	5834025	0
p2	p27	4118434	0
p25	p4	2558206	0
p26	p17	14757083	0
p11	p27	5849704	0
p12	p28	15683336	0
p2	p25	450211	0
p18	p3	1077211	0
p20	p4	8260597	0
p25	p16	9808031	0
p10	p17	13197194	0
p8	p20	10399211	0
p21	p16	2042286	0
p8	p28	13186768	0
p24	p26	6657225	0
p29	p22	2694682	0
p15	p17	14327880	0
p6	p28	2293888	0
p26	p5	5617552	0
p21	p22	9080422	0
p12	p17	8795806	0
p18	p0	15565519	0
p24	p5	11386572	0
p29	p21	12321269	0
p15	p28	12496101	0
p18	p11	13876635	0
p16	p22	14370266	0
p10	p4	2396017	0
p10	p6	4273295	0
p12	p5	13275444	0
p9	p6	3426276	0
p9	p28	13023583	0
p18	p19	472426	0
p11	p12	7762749	0
p3	p21	6536837	0
p1	p21	2227962	0
p7	p4	11892950	0
p7	p28	10628291	0
p3	p12	13890811	0
p24	p22	342398	0
p27	p17	5961664	0
p13	p21	8547214	0
p7	p15	8516107	0
p25	p26	1890875	0
p27	p22	15003110	0
p11	p15	5865560	0
p12	p15	13517789	0
p24	p13	11508249	0
p2	p1	1657472	0
p0	p5	155481	0
p20	p17	1617518	0
p8	p26	10585682	0
p15	p16	14288549	0
p10	p20	5959203	0
p27	p6	10871540	0
p18	p29	7763180	0
p0	p1	5954200	0
p10	p23	12065528	0
p6	p16	9647416	0
p8	p12	10748874	0
p16	p4	8113291	0
p6	p5	15820464	0
p10	p26	961571	0
p21	p4	15917963	0
p8	p5	12479014	0
p29	p20	3029531	0
p1	p7	10349745	0
p7	p5	2057468	0
p13	p26	8236698	0
p13	p4	11676753	0
p0	p16	637380	0
p9	p5	14227105	0
p1	p14	11809357	0
p28	p22	15314750	0
p8	p22	11174412	0
p26	p22	2494505	0
p0	p12	95066	0
p0	p21	11099828	0
p8	p9	10487255	0
p8	p13	9712152	0
p18	p1	277392	0
p3	p16	10492414	0
p29	p5	8728357	0
p2	p26	10907461	0
p11	p9	5777221	0
p12	p29	10455962	0
p0	p23	3561997	0
p4	p17	10257442	0
p19	p21	352528	0
p9	p15	9202991	0
p29	p16	5716656	0
p0	p27	9010941	0
p25	p19	192350	0
p25	p6	1150384	0
p21	p14	9649921	0
p20	p16	6109122	0
p10	p15	3575288	0
p19	p23	7339469	0
p6	p4	10238498	0
p14	p17	13211094	0
p27	p4	2380300	0
p14	p15	1959105	0
p12	p21	14497776	0
p19	p27	5498370	0
p3	p7	4606068	0
p21	p23	2607915	0
p24	p16	13709530	0
p7	p23	9178545	0
p1	p23	9700649	0
p2	p24	5576852	0
p9	p22	15950141	0
p29	p15	9560543	0
p2	p18	1851837	0
p3	p13	626030	0
p26	p7	11966173	0
p24	p21	3161076	0
p1	p26	8910393	0
p13	p14	1275068	0
p10	p7	15151423	0
p21	p5	12676528	0
p21	p28	10494404	0
p0	p14	8514411	0
p27	p13	11116371	0
p24	p23	6153053	0
p3	p15	15688035	0
p29	p28	7761251	0
p10	p0	3459319	0
p2	p20	15738322	0
p13	p23	11685440	0
p24	p27	6226246	0
p11	p22	2895313	0
p22	p17	11637445	0
p10	p18	5383046	0
p15	p4	15135896	0
p12	p23	8601348	0
p25	p11	15601952	0
p19	p14	8855897	0
p9	p20	10412058	0
p0	p4	456290	0
p23	p17	1875776	0
p27	p16	3410558	0
p18	p14	15576843	0
p6	p20	12500393	0
p2	p9	5683664	0
p10	p19	15318574	0
p11	p26	12548669	0
p15	p22	15316364	0
p1	p15	8149231	0
p19	p28	197226	0
p21	p17	14128768	0
p19	p4	12205030	0
p13	p9	3072050	0
p13	p15	3109432	0
p16	p17	10579118	0
p2	p13	12019843	0
p19	p6	5261123	0
p3	p27	1414113	0
p19	p17	1685416	0
p10	p25	11552814	0
p2	p19	13044056	0
p3	p26	10476330	0
p8	p1	3129133	0
p13	p1	5291967	0
p10	p13	10852488	0
