waypoint1	waypoint2	distance_m	duration_s
p7	p5	7479259	0
p2	p7	14734694	0
p1	p4	5529829	0
p3	p0	3118387	0
p2	p6	9138498	0
p2	p8	6727245	0
p6	p5	4568153	0
p3	p1	13921892	0
p2	p4	2007829	0
p8	p4	9252728	0
p8	p5	13399096	0
p2	p5	12681591	0
p8	p1	11675065	0
p1	p7	11953710	0
p8	p7	11426317	0
p3	p8	12761375	0
p6	p4	9959629	0
p7	p4	6338256	0
p9	p4	13281800	0
p3	p7	3047355	0
p3	p4	9499759	0
p3	p9	12039115	0
p1	p5	3319961	0
p4	p5	13190995	0
p0	p4	12409926	0
p0	p9	8009932	0
p8	p9	11181755	0
p3	p5	1613109	0
p2	p9	7068767	0
p1	p9	14219998	0
p8	p6	12163110	0
p2	p1	13477139	0
p0	p5	6497042	0
p0	p6	5430657	0
p9	p6	3723096	0
p9	p5	12703355	0
p3	p6	1025359	0
p1	p6	5205853	0
p0	p1	13149992	0
p2	p0	8395189	0
p0	p7	12264407	0
p0	p8	4683444	0
p9	p7	8301713	0
p6	p7	12223494	0
p2	p3	7904217	0
