waypoint1	waypoint2	distance_m	duration_s
p588	p382	12010922	0
p32	p144	9563768	0
p299	p136	9277984	0
p229	p575	15560880	0
p93	p301	7940808	0
p571	p263	2055472	0
p107	p442	4561222	0
p498	p294	8009897	0
p287	p486	14217594	0
p468	p79	7017231	0
p431	p573	5377748	0
p231	p319	14505739	0
p11	p368	12019076	0
p349	p173	11083252	0
p434	p513	12963372	0
p425	p123	5163534	0
p220	p440	12370711	0
p19	p440	1836163	0
p239	p197	9357382	0
p391	p301	7935153	0
p264	p57	6854289	0
p438	p500	7819350	0
p110	p66	13223277	0
p351	p222	8493857	0
p550	p271	13627879	0
p249	p384	2334289	0
p509	p360	13708985	0
p361	p466	15870048	0
p61	p58	11719831	0
p350	p439	1054984	0
p34	p393	9090607	0
p10	p90	14463996	0
p454	p188	14280997	0
p141	p75	7612015	0
p530	p126	2478930	0
p374	p16	7178390	0
p508	p224	5577024	0
p59	p225	9443902	0
p266	p79	4109317	0
p361	p525	538497	0
p160	p258	14841247	0
p104	p380	12427339	0
p38	p485	15744283	0
p514	p195	15946292	0
p267	p340	1882284	0
p475	p191	9029259	0
p91	p113	7187509	0
p463	p464	6608036	0
p596	p546	8447428	0
p371	p35	8298149	0
p54	p446	8269557	0
p333	p309	6823416	0
p433	p52	9834939	0
p595	p416	163431	0
p154	p473	1798322	0
p587	p389	9929539	0
p530	p95	13475883	0
p210	p188	14858702	0
p171	p401	8234688	0
p408	p508	11946742	0
p108	p102	1794096	0
p168	p268	11836382	0
p262	p344	15742957	0
p8	p15	11830860	0
p312	p176	308527	0
p219	p148	14399130	0
p485	p40	11208665	0
p318	p586	6377935	0
p259	p373	8767259	0
p148	p548	2827415	0
p124	p214	7437054	0
p589	p196	2470060	0
p50	p280	1543514	0
p28	p313	14752771	0
p463	p494	10590578	0
p419	p378	137462	0
p58	p416	16041618	0
p91	p1	3467663	0
p539	p73	10552661	0
p439	p42	8372701	0
p91	p97	15541204	0
p179	p323	8278613	0
p447	p370	7345397	0
p481	p280	8491483	0
p335	p17	5360604	0
p340	p189	561089	0
p171	p373	4881551	0
p19	p144	8870585	0
p218	p144	3392499	0
p211	p331	9700724	0
p533	p227	8874740	0
p107	p503	5608491	0
p588	p108	13745272	0
p204	p62	6524139	0
p15	p423	3848079	0
p341	p449	14751828	0
p232	p515	1992408	0
p508	p402	15288556	0
p231	p165	1056666	0
p83	p42	10938354	0
p427	p48	2865295	0
p10	p478	2009750	0
p89	p421	11754922	0
p425	p308	7045866	0
p545	p126	6362957	0
p168	p322	13983922	0
p349	p44	15524496	0
p395	p201	9529286	0
p280	p150	4109667	0
p121	p429	1398446	0
p107	p449	13905444	0
p56	p505	2748697	0
p311	p518	60702	0
p98	p519	4259041	0
p46	p406	3106588	0
p140	p183	2347756	0
p378	p208	1844502	0
p535	p598	15442795	0
p60	p74	2027310	0
p106	p115	545727	0
p148	p519	15053332	0
p56	p428	9436174	0
p549	p420	11513631	0
p590	p312	13749065	0
p333	p250	4952202	0
p356	p586	2558933	0
p306	p201	14672472	0
p248	p212	12156761	0
p98	p462	6254314	0
p93	p289	10267771	0
p105	p197	2800457	0
p321	p437	3686220	0
p2	p580	14051589	0
p304	p435	11825237	0
p142	p36	194253	0
p427	p467	10717114	0
p435	p49	9163784	0
p113	p470	6973961	0
p471	p346	5625623	0
