waypoint1	waypoint2	distance_m	duration_s
p38	p58	221438	0
p51	p49	14580488	0
p1	p39	10584909	0
p41	p16	3559658	0
p45	p59	6130072	0
p54	p4	8589599	0
p33	p48	5771734	0
p14	p6	8124370	0
p57	p35	9876278	0
p0	p28	3207786	0
p25	p16	2503883	0
p45	p29	10226928	0
p30	p23	8744724	0
p27	p1	3610466	0
p46	p42	6953872	0
p18	p6	12797728	0
p2	p41	5841373	0
p13	p58	9313055	0
p7	p35	7743779	0
p33	p4	7577538	0
p3	p28	7007768	0
p10	p37	359630	0
p56	p37	3723661	0
p57	p58	14399275	0
p14	p37	7060343	0
p37	p52	11207223	0
p9	p53	6579185	0
p49	p34	13801406	0
p2	p13	11444002	0
p18	p48	1130078	0
p49	p40	9861365	0
p36	p52	7519938	0
p13	p34	4867716	0
p28	p23	15082779	0
p36	p14	12602099	0
p2	p20	7702684	0
p18	p36	12429703	0
p38	p40	2710718	0
p3	p5	10517997	0
p12	p56	6191168	0
p24	p39	6127709	0
p56	p48	10801337	0
p52	p53	15641919	0
p36	p22	9931777	0
p31	p16	7373831	0
p57	p29	3402115	0
p19	p15	876598	0
p11	p29	12398974	0
p19	p53	1952387	0
p54	p26	5206787	0
p1	p59	9394318	0
p0	p51	10493170	0
p10	p16	5196707	0
p30	p9	4582843	0
p12	p7	9565200	0
p11	p19	9311450	0
p19	p57	1042280	0
p38	p16	11307004	0
p12	p52	4051158	0
p9	p16	9720754	0
p47	p6	5530100	0
p33	p21	7335052	0
p7	p49	5244782	0
p18	p28	6302269	0
p25	p39	14453428	0
p20	p42	7942310	0
p0	p30	1799829	0
p31	p36	6040704	0
p1	p53	10945445	0
p56	p17	13809293	0
p9	p51	2216909	0
p2	p16	4932996	0
p13	p43	14818112	0
p32	p49	11324868	0
p26	p35	3282688	0
p10	p14	9125469	0
p6	p7	11783248	0
p44	p58	13311384	0
p3	p35	2037515	0
p11	p23	15765077	0
p18	p21	13458952	0
p8	p31	13374532	0
p57	p7	11716253	0
p7	p20	5970449	0
p45	p35	15948782	0
p18	p3	6459726	0
p20	p4	15272875	0
p51	p23	13019556	0
p32	p9	3929305	0
p2	p26	11631856	0
p21	p16	9446263	0
p24	p26	12814243	0
p41	p53	11902116	0
p56	p20	11265793	0
p47	p24	15865616	0
p31	p50	12931232	0
p31	p35	13191262	0
p11	p36	8077471	0
p51	p35	3442457	0
p30	p49	10647026	0
p50	p53	9975784	0
p50	p15	6310958	0
p15	p35	12754650	0
p16	p22	10627916	0
p47	p21	9574524	0
p9	p49	8021393	0
p2	p46	552393	0
p9	p28	2872228	0
p39	p58	12925852	0
p3	p21	11953730	0
p1	p21	2153969	0
p7	p4	3343569	0
p38	p37	15664914	0
p2	p42	4179326	0
p7	p28	763507	0
p25	p55	12897446	0
p54	p35	7376454	0
p27	p17	9382719	0
p49	p53	15778087	0
p11	p38	6345492	0
p2	p39	12286958	0
p45	p44	7946497	0
p55	p7	14652448	0
p13	p42	12226263	0
p33	p44	1950097	0
p18	p50	11326660	0
p10	p52	4052814	0
p46	p17	3271206	0
p2	p1	7289180	0
p30	p56	15690370	0
p57	p16	9168819	0
p23	p40	8129395	0
p27	p6	8895537	0
p19	p35	5215094	0
p27	p35	11176209	0
p0	p37	4168815	0
p38	p21	9519692	0
p27	p41	2617319	0
p50	p43	7900484	0
p43	p53	10690219	0
p46	p36	10878491	0
p43	p15	6397546	0
p19	p31	172534	0
p16	p4	189745	0
