waypoint1	waypoint2	distance_m	duration_s
p38	p58	11753182	0
p45	p26	2660249	0
p51	p49	13106070	0
p32	p67	12712255	0
p58	p52	4791443	0
p61	p26	8036693	0
p8	p30	2157214	0
p41	p16	14953273	0
p45	p59	9097154	0
p2	p60	13892393	0
p68	p62	16019297	0
p54	p4	8743818	0
p33	p48	13600009	0
p14	p6	11929681	0
p57	p35	14438365	0
p0	p28	8955068	0
p25	p16	5325802	0
p45	p29	3225518	0
p30	p23	782842	0
p27	p1	15285590	0
p46	p42	13476882	0
p18	p6	4489274	0
p61	p58	5746025	0
p60	p9	14485032	0
p2	p41	14547222	0
p3	p63	3906196	0
p13	p58	8396848	0
p7	p35	2617687	0
p33	p4	13474388	0
p3	p28	4490053	0
p10	p37	2731262	0
p56	p37	896319	0
p61	p5	10933585	0
p69	p58	5478969	0
p14	p37	7196321	0
p37	p52	4530162	0
p64	p5	8791488	0
p9	p53	14988986	0
p60	p67	9195215	0
p49	p34	3899158	0
p2	p13	294961	0
p63	p21	5964314	0
p18	p48	1002140	0
p28	p64	9877234	0
p49	p40	8680966	0
p36	p52	6355852	0
p13	p34	8425984	0
p28	p23	6066515	0
p36	p14	10891546	0
p8	p66	14022222	0
p18	p36	3029348	0
p38	p40	1128298	0
p61	p39	8268086	0
p3	p5	5274793	0
p12	p56	11949973	0
p24	p39	4398851	0
p56	p48	6289801	0
p52	p53	13866847	0
p36	p22	3742710	0
p31	p16	13338162	0
p66	p17	1535566	0
p15	p34	7758564	0
p19	p15	7682137	0
p11	p29	13801084	0
p19	p53	4454362	0
p54	p26	8388383	0
p54	p33	1289729	0
p1	p59	2823346	0
p0	p51	5753387	0
p10	p16	14785291	0
p30	p9	14331227	0
p25	p63	5857993	0
p65	p17	4452295	0
p11	p19	13341007	0
p19	p57	8329687	0
p38	p16	3469774	0
p55	p66	7134182	0
p12	p52	14679897	0
p9	p16	7967103	0
p47	p6	4958686	0
p25	p28	10156115	0
p28	p34	12640684	0
p44	p52	12470814	0
p18	p28	6928634	0
p25	p39	14478736	0
p45	p42	14190707	0
p64	p34	15704267	0
p20	p42	6306185	0
p0	p30	13607435	0
p31	p36	1682436	0
p1	p53	15460453	0
p56	p17	14453397	0
p9	p51	12605210	0
p2	p16	7625996	0
p69	p11	2195080	0
p32	p49	15408790	0
p26	p35	15637180	0
p69	p55	13181415	0
p10	p14	8113175	0
p69	p38	4193182	0
p6	p7	5951047	0
p44	p58	8049773	0
p3	p35	13696720	0
p11	p23	528496	0
p18	p21	1231925	0
p8	p31	14133637	0
p57	p7	14734417	0
p7	p20	9970965	0
p45	p35	2586988	0
p10	p67	10678613	0
p56	p67	12715974	0
p18	p3	5915454	0
p20	p4	2848746	0
p9	p67	13230160	0
p51	p23	5506483	0
p18	p67	3372695	0
p32	p9	4406810	0
p2	p26	10904465	0
p21	p16	9188274	0
p56	p21	6178848	0
p41	p53	692256	0
p56	p20	5920135	0
p30	p22	15965918	0
p27	p66	5584324	0
p31	p50	6446298	0
p31	p35	11015155	0
p11	p36	3045157	0
p51	p35	13354061	0
p30	p49	9801255	0
p50	p53	10140427	0
p50	p15	5025133	0
p15	p35	5962784	0
p16	p22	2571176	0
p46	p66	10167376	0
p26	p48	7910023	0
p9	p49	12970508	0
p55	p67	1660491	0
p2	p46	9969882	0
p9	p28	15688031	0
p39	p58	4389418	0
p3	p21	182981	0
p1	p21	7752608	0
p7	p4	4951467	0
p38	p37	5697555	0
p2	p42	10353425	0
p2	p63	15537589	0
p7	p28	7814703	0
p25	p55	13938977	0
p54	p35	13445407	0
p27	p17	3298972	0
p49	p53	15164187	0
p69	p13	3260119	0
p62	p4	1973637	0
p11	p38	2120242	0
p67	p5	3515442	0
p2	p39	11807698	0
p45	p44	4372295	0
p55	p7	6077025	0
p13	p42	3115114	0
p30	p56	4803970	0
p33	p44	12250886	0
p18	p50	3593373	0
p61	p13	9451400	0
p65	p14	4277214	0
p10	p52	11160925	0
p46	p17	6772027	0
p2	p1	9929239	0
p48	p22	14889088	0
p57	p16	13296515	0
p60	p49	13440955	0
p65	p43	12965921	0
p27	p6	4938786	0
p61	p43	15424520	0
p19	p35	11189998	0
p6	p66	7792504	0
p27	p35	3926950	0
p0	p37	7512927	0
p38	p21	6742234	0
p45	p23	12757935	0
p63	p26	12026746	0
p43	p53	2900611	0
p46	p36	14858847	0
p43	p15	8889817	0
p19	p31	11353632	0
p16	p4	6507131	0
p15	p66	15544946	0
p62	p40	5780806	0
p14	p49	8940860	0
p33	p45	1776682	0
p31	p65	15124788	0
p69	p43	5220482	0
p18	p42	8280401	0
p11	p34	1102996	0
p63	p57	7956454	0
p21	p4	9304748	0
p8	p5	6552043	0
p56	p6	8391083	0
p55	p17	10150605	0
p2	p65	1230813	0
p56	p39	1815074	0
p63	p22	7852613	0
p26	p58	14379880	0
p7	p5	364101	0
p13	p26	1968801	0
p32	p23	7972323	0
p24	p64	15338084	0
p65	p6	9163178	0
p32	p64	14905715	0
p28	p22	4193966	0
p13	p52	11047166	0
p17	p5	3126939	0
p0	p21	5421076	0
p68	p12	7856046	0
p7	p51	6900373	0
p30	p5	16002564	0
p47	p24	6707771	0
p57	p62	6287205	0
p8	p57	4294009	0
p18	p1	3155359	0
p8	p20	12718704	0
p30	p67	4045076	0
p26	p31	2180640	0
p32	p3	9420757	0
p2	p48	2861885	0
p46	p7	6520473	0
p2	p38	4035624	0
p27	p45	8908705	0
p1	p34	8823066	0
p57	p51	6423204	0
p55	p6	11299856	0
p10	p41	5708151	0
p45	p15	444959	0
p15	p20	10983629	0
p44	p50	6410639	0
p20	p16	3751283	0
p61	p50	3479584	0
p54	p15	8472328	0
p62	p42	8742504	0
p57	p58	246056	0
p43	p34	8620985	0
p63	p67	5787614	0
p21	p20	7850389	0
p65	p22	1197898	0
p11	p46	4215893	0
p15	p53	13247278	0
p27	p16	4350522	0
p16	p48	15182434	0
p65	p29	3620153	0
p54	p6	3746884	0
p21	p23	14826285	0
p0	p64	8813609	0
p36	p29	9267908	0
p2	p24	3455935	0
p9	p22	14822489	0
p3	p13	2219017	0
p24	p12	5415767	0
p24	p21	3496429	0
p68	p4	11409008	0
p13	p14	12011766	0
p30	p44	15817749	0
p47	p49	9885402	0
p1	p62	6601445	0
p61	p48	2776766	0
p46	p12	11076647	0
p21	p28	2371061	0
p32	p38	2200858	0
p33	p68	7226204	0
p0	p14	5009393	0
p63	p1	3574402	0
p57	p36	7424708	0
p32	p35	2632293	0
p37	p53	1852802	0
p38	p22	945471	0
p56	p63	8452599	0
p8	p44	3935159	0
p15	p42	3914242	0
p50	p6	11722916	0
p36	p48	10150859	0
p3	p41	11203561	0
p33	p26	9797962	0
p57	p13	767450	0
p26	p43	10756505	0
p12	p36	16060393	0
p15	p4	5199632	0
p42	p49	4551986	0
p69	p23	4074972	0
p1	p41	7135502	0
p38	p28	8574778	0
p46	p6	10995419	0
p38	p15	14879604	0
p10	p34	12819067	0
p54	p37	14272454	0
p33	p22	8899688	0
p18	p54	2081921	0
p45	p43	3130347	0
p60	p45	8454681	0
p24	p65	2232157	0
p60	p23	4805773	0
p59	p34	9134987	0
p55	p15	11337663	0
p54	p20	10100178	0
p65	p67	15937254	0
p18	p26	9762785	0
p38	p65	5232558	0
p30	p16	6307057	0
p11	p55	5263101	0
p16	p17	3473223	0
p8	p15	14042660	0
p58	p23	8373561	0
p3	p27	13888893	0
p11	p65	14213342	0
p19	p17	9229275	0
p60	p42	15899698	0
p55	p36	14602104	0
p32	p22	5530710	0
p30	p6	3465221	0
p56	p13	5791143	0
p27	p63	6306146	0
p18	p46	6597312	0
p8	p16	11801516	0
p41	p22	4853378	0
p46	p35	15517412	0
p54	p56	7190498	0
p37	p42	8981988	0
p28	p53	13693607	0
p37	p17	9105841	0
p10	p48	10702263	0
p61	p8	4633367	0
p38	p39	13322106	0
p26	p64	10473117	0
p43	p6	15830897	0
p61	p51	12978807	0
p46	p50	551583	0
p54	p3	9746963	0
p38	p9	12960383	0
p6	p34	4905847	0
p27	p38	11263204	0
p61	p62	8238314	0
p45	p39	1259452	0
p24	p62	1078774	0
p33	p6	298726	0
p38	p63	5087029	0
p69	p4	110262	0
p12	p67	4866859	0
p29	p42	15296599	0
p37	p51	8342570	0
p44	p31	2966894	0
p55	p52	2430746	0
p45	p50	15953202	0
p18	p5	13692138	0
p0	p39	11334341	0
p15	p23	10587722	0
p38	p6	364180	0
p30	p39	10863836	0
p46	p15	5701498	0
p57	p44	15179634	0
p37	p66	8447740	0
p25	p66	10241032	0
p32	p50	10742071	0
p2	p4	14108911	0
p62	p29	6714738	0
p65	p48	6970564	0
p57	p41	10952166	0
p20	p40	10792955	0
p10	p21	10204343	0
p49	p4	5316330	0
p42	p52	5661293	0
p50	p67	12800574	0
p14	p4	12599000	0
p30	p48	13572047	0
p3	p39	9019806	0
p62	p34	4908221	0
p32	p17	11172677	0
p56	p44	5999985	0
p47	p23	5450179	0
p10	p12	3230534	0
p11	p64	9255536	0
p10	p8	6871722	0
