waypoint1	waypoint2	distance_m	duration_s
p38	p58	13967629	0
p45	p26	2623864	0
p89	p20	11977515	0
p8	p71	1236353	0
p32	p67	14075061	0
p58	p52	3146803	0
p31	p78	13416569	0
p61	p26	534607	0
p81	p44	7110373	0
p1	p39	10174126	0
p41	p16	4727584	0
p60	p75	6727225	0
p88	p36	8281426	0
p77	p35	6687593	0
p45	p59	11988930	0
p72	p65	10867353	0
p2	p60	5042464	0
p68	p62	5037363	0
p46	p73	2310562	0
p52	p35	9537732	0
p54	p4	2808020	0
p33	p48	4939375	0
p25	p82	11942423	0
p14	p6	14256079	0
p82	p62	12342770	0
p57	p35	13319144	0
p69	p86	14232027	0
p0	p28	6403879	0
p25	p16	13114215	0
p45	p29	8030707	0
p30	p23	1295812	0
p27	p1	6471717	0
p46	p42	14706601	0
p64	p52	12733523	0
p18	p6	266413	0
p50	p73	5651810	0
p61	p58	4825631	0
p60	p9	2622577	0
p55	p84	4020307	0
p80	p59	11789374	0
p2	p41	10232442	0
p3	p63	7361803	0
p13	p58	14471978	0
p10	p86	15898154	0
p80	p7	4777209	0
p7	p73	4573122	0
p7	p35	2929488	0
p33	p4	15654672	0
p3	p28	11853293	0
p10	p37	1326386	0
p66	p35	15161825	0
p57	p87	4341734	0
p59	p40	1098127	0
p61	p5	10772913	0
p34	p79	14346294	0
p56	p73	15882358	0
p37	p84	9608418	0
p77	p62	6186618	0
p69	p58	4636017	0
p29	p28	9933421	0
p14	p37	15945675	0
p37	p52	5473868	0
p3	p17	13056168	0
p31	p70	6820115	0
p64	p5	1113868	0
p9	p53	10409504	0
p56	p80	3735691	0
p83	p30	9073032	0
p10	p80	9548020	0
p70	p34	10721842	0
p73	p79	434358	0
p49	p34	6964960	0
p2	p13	702910	0
p87	p66	12153966	0
p63	p21	5631073	0
p47	p17	7252709	0
p88	p42	6369417	0
p28	p64	1065223	0
p49	p40	9073416	0
p36	p52	5804609	0
p13	p34	11351218	0
p28	p23	5034556	0
p32	p81	8640	0
p43	p21	14113582	0
p30	p89	642833	0
p8	p66	8214222	0
p60	p58	1805059	0
p18	p36	14475774	0
p69	p24	5953717	0
p61	p39	3351952	0
p82	p38	3541362	0
p3	p5	12397874	0
p12	p56	9320827	0
p24	p39	4440975	0
p56	p48	14359583	0
p52	p53	11373793	0
p32	p74	6226722	0
p30	p15	7044472	0
p31	p16	16017632	0
p87	p84	12418427	0
p75	p67	7633403	0
p83	p66	11505056	0
p66	p17	13263829	0
p3	p85	10539736	0
p15	p34	7832006	0
p19	p15	12999907	0
p11	p29	13323845	0
p19	p53	11569548	0
p54	p26	11725080	0
p33	p77	13432224	0
p55	p75	12420310	0
p54	p33	4600880	0
p1	p59	15481662	0
p0	p51	6066951	0
p38	p75	10175204	0
p10	p16	15525232	0
p88	p66	14326895	0
p30	p9	6263033	0
p25	p63	13272772	0
p12	p7	11507674	0
p11	p19	907990	0
p10	p78	6164493	0
p65	p85	6327381	0
p38	p16	13621478	0
p83	p42	4762684	0
p55	p66	1439747	0
p12	p52	10777708	0
