waypoint1	waypoint2	distance_m	duration_s
p25	p23	7130546	0
p42	p16	4126400	0
p45	p26	13771236	0
p26	p34	11383623	0
p33	p41	15337815	0
p37	p23	4795104	0
p33	p31	9983460	0
p31	p14	6711339	0
p11	p20	9147345	0
p21	p37	12522866	0
p18	p9	10738211	0
p26	p31	9345569	0
p46	p9	8654766	0
p27	p37	13345398	0
p8	p30	1022969	0
p12	p45	71184	0
p44	p35	5388578	0
p32	p46	8127885	0
p31	p28	15268129	0
p49	p16	5159833	0
p12	p22	126914	0
p45	p48	7333299	0
p13	p9	15065425	0
p44	p1	3674718	0
p26	p16	9122154	0
p0	p36	13621717	0
p47	p11	1490003	0
p14	p6	323798	0
p45	p34	5608277	0
p3	p8	6427495	0
p11	p28	9102594	0
p18	p15	6239950	0
p27	p14	13384182	0
p21	p48	3899264	0
p13	p29	3232950	0
p32	p0	13628191	0
p0	p28	4670296	0
p3	p9	3783816	0
p15	p48	795309	0
p30	p23	10632488	0
p27	p1	7724238	0
p46	p42	13913845	0
p32	p29	7514641	0
p32	p11	8083870	0
p43	p23	11557213	0
p18	p21	12281194	0
p44	p4	16068200	0
p38	p48	959428	0
p32	p23	8626539	0
p0	p41	2960029	0
p8	p31	3385020	0
p38	p40	7097666	0
p38	p28	1170337	0
p38	p13	8158121	0
p19	p36	9115758	0
p19	p22	9235341	0
p8	p7	3970295	0
p47	p48	14905203	0
p47	p5	11639189	0
p25	p43	6986794	0
p4	p22	14481946	0
p18	p8	11055233	0
p25	p7	3414751	0
p0	p45	8951542	0
p2	p41	10597291	0
p2	p45	14421463	0
p32	p17	6409988	0
p32	p19	1638358	0
p11	p33	9005060	0
p26	p4	14353096	0
p7	p35	2302947	0
p39	p35	13128862	0
p24	p6	10152177	0
p33	p4	6449991	0
p12	p20	2085178	0
p11	p8	7256050	0
p3	p28	15122041	0
p10	p37	5736635	0
p41	p16	7974815	0
p48	p40	11564686	0
p13	p6	11318784	0
p39	p20	9704160	0
p2	p6	13954699	0
p18	p12	15580912	0
p14	p35	6720908	0
p0	p22	1176033	0
p4	p40	4104661	0
p7	p20	14071392	0
p7	p16	12651862	0
p26	p37	11618620	0
p11	p7	3662585	0
p44	p29	8217761	0
p8	p40	142849	0
p44	p41	7993655	0
p46	p26	13921182	0
p13	p17	11097561	0
p3	p29	6421438	0
p11	p4	9339793	0
p25	p9	3380314	0
p33	p8	329516	0
p49	p34	6857163	0
p2	p13	11760133	0
p24	p9	9184822	0
p11	p30	6960988	0
p36	p22	8936112	0
p40	p35	1030226	0
p44	p26	8669395	0
p29	p7	14715402	0
p33	p28	15867478	0
p29	p41	4361685	0
p46	p21	7867001	0
p13	p34	5158155	0
p28	p23	9825934	0
p1	p5	13445374	0
p10	p42	4939176	0
p6	p23	13404158	0
p43	p21	1334085	0
p43	p28	15892669	0
p46	p31	10418698	0
p18	p48	14227506	0
p18	p36	6845825	0
p18	p3	8286298	0
p14	p40	2264201	0
p27	p44	10390633	0
p3	p5	12607522	0
p17	p5	4226093	0
p2	p22	4238138	0
p30	p14	8467551	0
p33	p30	2140457	0
p41	p40	127509	0
p30	p15	12401651	0
p31	p16	4123791	0
p31	p43	3598516	0
p8	p29	8497989	0
p43	p36	6833983	0
p8	p20	8216356	0
p3	p48	6643421	0
p41	p4	61480	0
p2	p40	7998272	0
p0	p29	7007530	0
p39	p48	15536075	0
p37	p41	15740699	0
p3	p24	9818639	0
p2	p34	7893208	0
p39	p5	10415937	0
p11	p29	10933037	0
p10	p44	11764356	0
p30	p34	2234926	0
p38	p37	15936077	0
p39	p37	13702334	0
p12	p9	149946	0
p12	p14	31598	0
p45	p49	5504657	0
p30	p9	9498594	0
p12	p7	732921	0
p11	p19	5832463	0
p1	p4	10206608	0
p20	p35	11942276	0
p38	p16	8827955	0
p34	p40	7350763	0
p25	p3	4861572	0
p19	p0	183557	0
p47	p6	6669163	0
p46	p14	8075622	0
p10	p27	1824059	0
p25	p24	8883600	0
p24	p45	376423	0
p1	p16	14982385	0
p19	p9	4505750	0
p30	p26	766745	0
p2	p21	10285223	0
p18	p28	6818995	0
p25	p39	10490471	0
p27	p23	172938	0
p46	p41	9988620	0
p39	p42	2619506	0
p34	p35	15525966	0
p6	p22	3190749	0
p0	p30	15554679	0
p20	p34	1652669	0
p18	p24	6691859	0
p19	p20	6627665	0
p36	p28	8260418	0
p2	p16	10417748	0
p26	p14	6643345	0
p24	p46	1846153	0
p36	p42	1059234	0
p39	p4	6603168	0
p18	p23	12695600	0
p31	p5	2000307	0
p16	p5	14390534	0
p38	p36	4504645	0
p12	p16	5903596	0
p6	p7	1320866	0
p45	p44	7887135	0
p19	p7	6619124	0
p14	p5	15678517	0
p48	p35	9340693	0
p28	p48	2326448	0
p31	p48	11506764	0
p0	p9	8140076	0
p3	p35	3409081	0
p47	p28	5442252	0
p21	p40	13440459	0
p7	p17	10078847	0
p42	p4	8635639	0
p49	p40	13875028	0
p1	p37	9930442	0
p11	p23	3305916	0
p3	p19	14889140	0
p14	p28	4488045	0
p9	p20	5322862	0
p32	p41	920595	0
p7	p22	13007100	0
p26	p17	16064869	0
p3	p36	11735473	0
p32	p1	5463427	0
p11	p27	15331124	0
p36	p34	9553299	0
p21	p34	14152700	0
p12	p28	8397153	0
p2	p25	11787238	0
p45	p35	3477737	0
p33	p13	3706029	0
p38	p21	1287331	0
p32	p45	11007545	0
p14	p16	1499341	0
p45	p1	9655120	0
p12	p43	5913824	0
p20	p4	11996748	0
p0	p49	5522146	0
p25	p49	12724439	0
p25	p16	980531	0
p44	p48	9351768	0
p3	p0	8836311	0
p18	p43	499609	0
p27	p26	5622814	0
p32	p9	10575889	0
p3	p34	15794833	0
p44	p22	9996219	0
p21	p16	14354251	0
p8	p28	10680303	0
p24	p26	3252068	0
p33	p17	2724860	0
p29	p22	14588575	0
p26	p39	13843433	0
p29	p40	12674509	0
p15	p17	535262	0
p9	p36	12032904	0
p16	p40	665787	0
p6	p28	15223536	0
p18	p46	3342659	0
p36	p15	7208736	0
p19	p49	13680978	0
p43	p48	10113186	0
p26	p5	7759403	0
p11	p36	1819078	0
p19	p40	9951787	0
p18	p39	4526866	0
p25	p47	14934809	0
p44	p14	9544474	0
p12	p17	11793359	0
p32	p30	7984752	0
p6	p41	8391877	0
p32	p48	922869	0
p42	p40	14011936	0
p30	p49	465821	0
p45	p9	10337451	0
p24	p5	13673917	0
p29	p21	3106455	0
p15	p28	10317273	0
p18	p11	12553183	0
p15	p35	6385114	0
p29	p49	13461290	0
p12	p49	11363416	0
p16	p22	4090812	0
p46	p45	3989461	0
p26	p48	8783872	0
p10	p4	2174945	0
p27	p7	9213238	0
p49	p35	13639400	0
p21	p49	14370952	0
p28	p49	9995155	0
p1	p36	1075531	0
p3	p38	14508170	0
p10	p6	2780560	0
p12	p5	3624663	0
p10	p39	103125	0
p37	p40	5060576	0
p32	p13	10890688	0
p32	p8	14706085	0
p2	p46	2061861	0
p9	p6	2536741	0
p0	p34	11882634	0
p46	p5	5224940	0
p18	p6	9526078	0
p18	p19	11380189	0
p32	p43	2792536	0
p38	p39	444137	0
p8	p48	10761676	0
p24	p44	7076893	0
p13	p35	13216169	0
p3	p21	8498766	0
p46	p1	15199147	0
p1	p21	5566301	0
p41	p5	10879847	0
p46	p27	1740965	0
p37	p22	3670105	0
p7	p4	10200290	0
p18	p38	7938886	0
p47	p37	12520487	0
p27	p28	14222613	0
p3	p31	15019878	0
p31	p36	11009078	0
p2	p42	8277526	0
p24	p49	8800544	0
p7	p28	2399205	0
p3	p12	512549	0
p30	p48	8306224	0
p9	p15	4187531	0
p8	p34	9031212	0
p27	p17	2701071	0
p9	p26	15408133	0
p32	p14	13856691	0
p3	p43	840747	0
p19	p23	11437123	0
p29	p20	13207227	0
p6	p42	13439766	0
p11	p38	11977255	0
p14	p34	4696025	0
p2	p39	9518347	0
p7	p15	5560841	0
p25	p26	14478347	0
p46	p39	11145664	0
p43	p4	613023	0
p44	p36	12247503	0
p32	p15	2160701	0
p11	p48	8645046	0
