waypoint1	waypoint2	distance_m	duration_s
p38	p58	10939544	0
p45	p26	11170158	0
p8	p71	14737686	0
p32	p67	12962884	0
p58	p52	13833086	0
p61	p26	9533319	0
p1	p39	5039822	0
p41	p16	797260	0
p60	p75	15292549	0
p77	p35	12552489	0
p45	p59	14115906	0
p72	p65	14334602	0
p2	p60	5683204	0
p68	p62	416263	0
p46	p73	735802	0
p52	p35	5212151	0
p54	p4	16080786	0
p33	p48	4238947	0
p14	p6	3115748	0
p57	p35	9436657	0
p0	p28	5805950	0
p25	p16	65635	0
p45	p29	6260246	0
p30	p23	13708258	0
p27	p1	12561113	0
p46	p42	13032401	0
p18	p6	249011	0
p50	p73	6222185	0
p61	p58	540362	0
p60	p9	4328300	0
p2	p41	3400547	0
p3	p63	2245765	0
p13	p58	5260770	0
p7	p73	4230182	0
p7	p35	1018987	0
p33	p4	16028563	0
p3	p28	97859	0
p10	p37	10483410	0
p66	p35	10038227	0
p61	p5	12826851	0
p34	p79	15579822	0
p56	p73	10696	0
p77	p62	11325184	0
p69	p58	11731694	0
p29	p28	7577526	0
p14	p37	11889351	0
p37	p52	4778422	0
p3	p17	4338701	0
p31	p70	8995551	0
p64	p5	10632907	0
p9	p53	6119888	0
p60	p67	1539357	0
p70	p34	2815694	0
p73	p79	3168334	0
p49	p34	859538	0
p2	p13	981291	0
p63	p21	9824036	0
p18	p48	4970412	0
p28	p64	3112502	0
p49	p40	5573637	0
p36	p52	10481348	0
p13	p34	2194023	0
p28	p23	12845200	0
p43	p21	2156982	0
p46	p70	1598472	0
p8	p66	11884089	0
p60	p58	6736899	0
p18	p36	15110776	0
p69	p24	13946841	0
p61	p39	473897	0
p3	p5	10119720	0
p12	p56	9740978	0
p24	p39	493676	0
p56	p48	8155756	0
p52	p53	11575864	0
p32	p74	4933013	0
p30	p15	7184619	0
p31	p16	8026331	0
p75	p67	11206146	0
p66	p17	1000571	0
p15	p34	6537493	0
p19	p15	8175654	0
p11	p29	4351960	0
p19	p53	15339963	0
p54	p26	13589021	0
p33	p77	8163825	0
p55	p75	12970548	0
p54	p33	219037	0
p1	p59	15014348	0
p0	p51	1062107	0
p10	p16	9617999	0
p30	p9	10575252	0
p25	p63	12685089	0
p12	p7	5998825	0
p11	p19	14468873	0
p10	p78	7283118	0
p38	p16	13082045	0
p55	p66	15549401	0
p12	p52	9060631	0
p9	p16	2561319	0
p47	p6	2058035	0
p46	p14	4472181	0
p28	p34	6740685	0
p44	p52	15994041	0
p18	p28	13181117	0
p55	p39	388979	0
p25	p39	333499	0
p45	p42	10113598	0
p77	p9	4464523	0
p64	p34	7817619	0
p20	p42	4666573	0
p0	p30	1320061	0
p31	p36	2259875	0
p47	p63	6535331	0
p1	p53	14678859	0
p56	p17	5785171	0
p9	p51	10667814	0
p2	p16	15383771	0
p74	p36	14864275	0
p78	p67	8976441	0
p69	p11	4948730	0
p32	p49	2986571	0
p10	p72	8009701	0
p69	p55	7360917	0
p10	p14	6659289	0
p69	p38	16044809	0
p6	p7	4247052	0
p56	p75	15787040	0
p44	p58	11856499	0
p3	p35	12532181	0
p45	p73	12870559	0
p11	p23	1646491	0
p26	p17	11273581	0
p8	p31	8471504	0
p57	p7	10887454	0
p70	p5	3935483	0
p7	p20	3967300	0
p45	p35	86969	0
p10	p67	4796430	0
p75	p22	5666949	0
p37	p78	6666970	0
p18	p3	278637	0
p1	p50	11288187	0
p9	p67	994963	0
p76	p42	4118367	0
p51	p23	5258172	0
p18	p67	9571816	0
p73	p78	9022350	0
p32	p9	9734579	0
p2	p26	10101472	0
p21	p16	3531452	0
p56	p21	12226905	0
p41	p53	12150339	0
p56	p20	9354772	0
p61	p76	15038164	0
p36	p53	2067623	0
p54	p42	13255270	0
p77	p49	5337642	0
p30	p22	3043814	0
p68	p73	7920892	0
p27	p66	803750	0
p31	p50	2217057	0
p31	p35	14415579	0
p11	p36	2889106	0
p18	p45	1056259	0
p51	p35	8665504	0
p30	p49	2183849	0
p50	p53	4833147	0
p50	p15	5649928	0
p15	p35	7570464	0
p16	p22	6726242	0
p46	p66	2284110	0
p26	p48	1350620	0
p15	p71	14878740	0
p60	p36	463690	0
p31	p71	721793	0
p44	p4	7635218	0
p55	p67	10350642	0
p74	p72	10589471	0
p2	p46	8319969	0
p9	p28	4899319	0
p70	p49	3860960	0
p39	p58	1560769	0
p71	p5	13297528	0
p3	p21	11384929	0
p77	p39	526669	0
p1	p21	13896525	0
p72	p34	2119489	0
p7	p4	4577517	0
p38	p37	15762348	0
p2	p42	246033	0
p2	p63	3616157	0
p7	p28	7864574	0
p25	p55	6028722	0
p54	p35	9853057	0
p58	p73	11933108	0
p27	p17	10411990	0
p49	p53	15565398	0
p69	p13	16034051	0
p62	p4	2841617	0
p11	p38	3913876	0
p44	p37	523910	0
p67	p5	11592867	0
p2	p39	3498588	0
p30	p70	6158434	0
p45	p44	1285613	0
p74	p71	10909676	0
p55	p7	14815436	0
p38	p31	13708225	0
p13	p42	15436668	0
p30	p56	9085308	0
p33	p44	8763330	0
p18	p50	11630991	0
p61	p13	7220938	0
p19	p68	3023772	0
p10	p52	368187	0
p46	p17	5279396	0
p2	p1	1487733	0
p18	p32	14688472	0
p57	p16	10360711	0
p19	p73	5296795	0
p78	p79	13064568	0
p60	p49	1061953	0
p65	p43	4718485	0
p46	p78	14261671	0
p27	p6	1883102	0
p61	p43	426147	0
p19	p35	14461905	0
p6	p66	2062037	0
p19	p77	8566822	0
p27	p35	10407753	0
p0	p37	11131404	0
p3	p70	811122	0
p0	p65	13413135	0
p45	p23	11746591	0
p63	p26	8192205	0
p77	p17	2320750	0
p43	p53	4836905	0
p46	p36	14939918	0
p43	p15	15608446	0
p19	p31	6693374	0
p75	p51	1606757	0
p24	p79	13535529	0
p16	p4	4216526	0
p15	p66	15685166	0
p62	p40	190536	0
p69	p73	8374052	0
p14	p49	12476191	0
p79	p48	7048667	0
p33	p45	10677320	0
p75	p29	433931	0
p69	p43	3454202	0
p18	p42	4267111	0
p11	p34	11595869	0
p70	p48	785824	0
p21	p4	7365686	0
p8	p5	324322	0
p56	p6	4355721	0
p55	p17	9985072	0
p2	p65	5374553	0
p56	p39	3820203	0
p63	p22	14840353	0
p26	p58	4909893	0
p13	p26	828771	0
p20	p79	6954987	0
p24	p64	7146794	0
p76	p72	9544501	0
p65	p6	1437549	0
p32	p64	4195319	0
p28	p22	312381	0
p13	p52	13410096	0
p0	p12	12646151	0
p0	p21	1566678	0
p68	p12	15294259	0
p7	p51	6762611	0
p30	p5	1332794	0
p47	p24	1620425	0
p57	p62	11293508	0
p8	p57	13348641	0
p18	p1	4488500	0
p75	p4	3460150	0
p8	p20	1440917	0
p30	p67	1225308	0
p26	p31	8789619	0
p32	p3	12426377	0
p2	p48	6319208	0
p46	p7	14880288	0
p2	p38	13189105	0
p27	p45	10150985	0
p1	p34	4008626	0
p57	p51	11907637	0
p55	p6	15947202	0
p10	p41	14360215	0
p45	p15	15081749	0
p15	p20	3694069	0
p30	p51	547584	0
p74	p65	493219	0
p44	p50	7707188	0
p77	p23	4306350	0
p20	p16	6652090	0
p76	p43	14677694	0
p61	p50	10608592	0
p54	p15	7882330	0
p62	p42	15530513	0
p57	p58	11611413	0
p43	p34	14058705	0
p74	p58	3425065	0
p63	p67	5855431	0
p14	p17	10693388	0
p64	p71	13522455	0
p65	p22	11475959	0
p11	p46	1024231	0
p15	p53	15225919	0
p27	p16	1783371	0
p16	p48	7813080	0
p65	p29	6475566	0
p54	p6	9775657	0
p21	p23	9465071	0
p0	p64	7995143	0
p36	p29	6639095	0
p57	p71	13295431	0
p2	p24	683128	0
p9	p22	1181306	0
p3	p13	9113880	0
p24	p12	11849127	0
